"id","t1","t2","diff_t","y1","y2","diff_y","slope","intercept","auc_to_mean","auc_to_min","mean_inter","segment_nb"
1,0,3.58333333333333,3.58333333333333,1,1,0,0,1,-4.09523809523809,0,0,1
1,3.58333333333333,5.16666666666667,1.58333333333334,1,3,2,1.26315789473684,-3.52631578947366,-0.226190476190477,1.58333333333334,1,2
1,5.16666666666667,8.25,3.08333333333333,3,2,-1,-0.324324324324325,4.67567567567568,1.10119047619048,4.625,-1,3
1,8.25,11.8,3.55,2,1,-1,-0.28169014084507,4.32394366197183,-2.28214285714286,1.775,0,4
1,11.8,24.0333333333333,12.2333333333333,1,1,0,0,1,-13.9809523809523,0,0,5
1,24.0333333333333,27.5333333333333,3.5,1,6,5,1.42857142857143,-33.3333333333333,4.75,8.74999999999999,1,6
1,27.5333333333333,29.25,1.7166666666667,6,4,-2,-1.1650485436893,38.0776699029119,4.904761904762,6.86666666666682,0,7
1,29.25,32.25,3,4,3,-1,-0.333333333333333,13.75,4.07142857142857,7.5,0,8
1,32.25,35.7666666666667,3.5166666666667,3,1,-2,-0.568720379146914,21.341232227488,-0.502380952380959,3.5166666666667,-1,9
1,35.7666666666667,48.1166666666667,12.35,1,2,1,0.0809716599190283,-1.89608636977058,-7.93928571428571,6.175,0,10
1,48.1166666666667,51.6333333333333,3.51666666666659,2,2,0,0,2,-0.502380952380942,3.51666666666659,0,11
1,51.6333333333333,53.2,1.56666666666671,2,3,1,0.63829787234041,-30.9574468085098,0.559523809523824,2.35000000000007,1,12
1,53.2,56.2166666666667,3.01666666666669,3,8,5,1.6574585635359,-85.1767955801097,10.1273809523811,13.5750000000001,0,13
1,56.2166666666667,59.75,3.5333333333333,8,3,-5,-1.41509433962265,87.5518867924536,11.8619047619046,15.8999999999999,0,14
1,59.75,72.05,12.3,3,1,-2,-0.16260162601626,12.7154471544715,-1.75714285714286,12.3,-1,15
1,72.05,75.5,3.45,1,1,0,0,1,-3.94285714285714,0,0,16
1,75.5,77.2,1.7,1,1,0,0,1,-1.94285714285715,0,0,17
1,77.2,80.2,3,1,1,0,0,1,-3.42857142857143,0,0,18
1,80.2,83.75,3.55,1,1,0,0,1,-4.05714285714285,0,0,19
1,83.75,96.0166666666667,12.2666666666667,1,1,0,0,1,-14.0190476190477,0,0,20
1,96.0166666666667,99.5666666666667,3.55000000000001,1,1,0,0,1,-4.05714285714286,0,0,21
1,99.5666666666667,101.233333333333,1.66666666666629,1,1,0,0,1,-1.90476190476147,0,0,22
1,101.233333333333,104.216666666667,2.983333333334,1,3,2,0.670391061452364,-66.865921787694,-0.42619047619057,2.983333333334,1,23
1,104.216666666667,107.733333333333,3.516666666666,3,5,2,0.568720379147028,-56.2701421801062,6.53095238095113,10.549999999998,0,24
1,107.733333333333,120.033333333333,12.3,5,6,1,0.08130081300813,-3.75880758807584,41.2928571428571,55.35,0,25
1,120.033333333333,123.6,3.56666666666699,6,3,-3,-0.841121495327027,106.96261682242,8.40714285714364,12.4833333333345,0,26
1,123.6,125.2,1.60000000000001,3,2,-1,-0.624999999999997,80.2499999999996,0.571428571428569,2.40000000000003,-1,27
1,125.2,128.233333333333,3.033333333333,2,1,-1,-0.329670329670365,43.2747252747298,-1.94999999999978,1.5166666666665,0,28
1,128.233333333333,131.8,3.566666666667,1,1,0,0,1,-4.07619047619087,0,0,29
1,131.8,144.016666666667,12.216666666667,1,1,0,0,1,-13.9619047619051,0,0,30
1,144.016666666667,147.616666666667,3.59999999999999,1,1,0,0,1,-4.1142857142857,0,0,31
1,147.616666666667,149.233333333333,1.61666666666602,1,1,0,0,1,-1.84761904761831,0,0,32
1,149.233333333333,152.183333333333,2.94999999999999,1,1,0,0,1,-3.37142857142857,0,0,33
1,152.183333333333,155.716666666667,3.53333333333401,1,1,0,0,1,-4.03809523809602,0,0,34
2,0,3.71666666666667,3.71666666666667,1,1,0,0,1,-4.24761904761905,0,0,1
2,3.71666666666667,5.23333333333333,1.51666666666666,1,1,0,0,1,-1.73333333333333,0,0,2
2,5.23333333333333,8.33333333333333,3.1,1,1,0,0,1,-3.54285714285714,0,0,3
2,8.33333333333333,11.9166666666667,3.58333333333337,1,1,0,0,1,-4.09523809523814,0,0,4
2,11.9166666666667,24.1,12.1833333333333,1,1,0,0,1,-13.9238095238095,0,0,5
2,24.1,27.6333333333333,3.5333333333333,1,1,0,0,1,-4.0380952380952,0,0,6
2,27.6333333333333,29.3833333333333,1.75,1,2,1,0.571428571428571,-14.7904761904762,-1.125,0.875,0,7
2,29.3833333333333,32.3666666666667,2.9833333333334,2,2,0,0,2,-0.426190476190486,2.9833333333334,0,8
2,32.3666666666667,35.8333333333333,3.4666666666666,2,2,0,0,2,-0.495238095238085,3.4666666666666,0,9
2,35.8333333333333,48.25,12.4166666666667,2,3,1,0.0805369127516776,-0.885906040268446,4.43452380952382,18.625,1,10
2,48.25,51.75,3.5,3,3,0,0,3,3,7,0,11
2,51.75,53.3333333333333,1.5833333333333,3,3,0,0,2.99999999999999,1.35714285714283,3.1666666666666,0,12
2,53.3333333333333,56.35,3.0166666666667,3,3,0,0,3.00000000000001,2.58571428571432,6.0333333333334,0,13
2,56.35,59.9,3.55,3,4,1,0.281690140845071,-12.8732394366197,4.81785714285714,8.875,0,14
2,59.9,72.0666666666667,12.1666666666667,4,6,2,0.164383561643835,-5.84657534246572,34.7619047619049,48.6666666666668,0,15
2,72.0666666666667,75.65,3.5833333333333,6,8,2,0.558139534883726,-34.2232558139539,17.4047619047618,21.4999999999998,0,16
2,75.65,77.2333333333333,1.5833333333333,8,6,-2,-1.26315789473687,103.557894736844,7.69047619047603,9.49999999999977,0,17
2,77.2333333333333,80.3,3.06666666666669,6,5,-1,-0.326086956521737,31.1847826086954,10.2952380952382,13.8000000000002,0,18
2,80.3,83.7666666666667,3.4666666666667,5,3,-2,-0.576923076923072,51.3269230769227,6.43809523809529,10.4000000000001,0,19
2,83.7666666666667,96.1333333333333,12.3666666666666,3,3,0,0,3,10.6,24.7333333333332,0,20
2,96.1333333333333,99.7166666666667,3.5833333333334,3,2,-1,-0.279069767441855,29.8279069767437,1.27976190476193,5.37500000000011,-1,21
2,99.7166666666667,101.25,1.5333333333333,2,1,-1,-0.652173913043491,67.0326086956535,-0.985714285714266,0.766666666666652,0,22
2,101.25,104.283333333333,3.033333333333,1,1,0,0,1,-3.46666666666628,0,0,23
2,104.283333333333,107.85,3.56666666666699,1,1,0,0,1,-4.07619047619085,0,0,24
2,107.85,120.133333333333,12.283333333333,1,1,0,0,1,-14.0380952380949,0,0,25
2,120.133333333333,123.716666666667,3.583333333334,1,1,0,0,1,-4.09523809523887,0,0,26
2,123.716666666667,125.233333333333,1.516666666666,1,1,0,0,1,-1.73333333333255,0,0,27
2,125.233333333333,128.25,3.01666666666701,1,1,0,0,1,-3.44761904761944,0,0,28
2,128.25,131.933333333333,3.683333333333,1,1,0,0,1,-4.20952380952343,0,0,29
2,131.933333333333,144.033333333333,12.1,1,1,0,0,1,-13.8285714285714,0,0,30
2,144.033333333333,147.633333333333,3.60000000000002,1,1,0,0,1,-4.11428571428573,0,0,31
2,147.633333333333,149.266666666667,1.63333333333398,1,1,0,0,1,-1.86666666666741,0,0,32
2,149.266666666667,152.283333333333,3.016666666666,1,1,0,0,1,-3.44761904761828,0,0,33
2,152.283333333333,155.75,3.46666666666701,1,1,0,0,1,-3.96190476190517,0,0,34
